nickName,userLevelName,content,publishTime
佳***3,钻石会员,手机用了三四天，感觉特别舒服，很好，以前买的会闪屏，现在这个多好，非常满意，一天可以用，电池还可以，颜色我非常喜欢， 64g内存够用，像素可以，主要还是用的惯苹果系统，数码产品都是京东买，放心,2018-10-25 21:18:34
予晓陈,PLUS会员,很好，和男朋友一人买的一台，都没有发现问题，使用很流畅，反应速度非常快。画质也很好，只是希望64的够用，毕竟感觉256有点太大，差价也大。,2019-03-15 22:45:21
男***1,PLUS会员,面部识别很快，感觉高大上，全面屏看着很舒服，电池够用一天，平时刷视频软件比较多，女孩子建议用银白色，运行速度也很快，拍照自带美颜。之前看了很多全面屏手机，还是比较喜欢用苹果系统，干净，插件少，不会越用越卡，用个三年没问题,2018-04-19 22:24:11
盛***山,铜牌会员,屏幕大小刚好合适，单手持握很舒服。第一次用iOS系统，真的很爽啊。之前在XR和X之间考虑了很久，还是觉得X要好一些，毕竟用料材质都是一流的。很喜欢。用一段时间在看看,2019-01-06 13:21:53
小***哒,钻石会员,电池总体来说挺耐用的，但是没有电池百分比好难受。手机速度那叫一个快啊流畅啊，手感很棒！一开始不习惯操作，没有home健感觉很难受，现在觉得好方便！向上一滑就到主页面。人脸识别也比想象中的好用。至少化妆不化妆都能识别，只是在大部分时候还是觉得指纹解锁更方便。。原来的7p确实不适合我这种小手星人！用了这个再也不想用7p了显得很笨重。机子是全新的，颜值确实高。买了个套子 贴了个膜，感觉安全多了！黑色屏保真的超级漂亮哦！总之很满意！值！,2018-02-27 16:20:39
j***d,银牌会员,"打开时绝对没什么，用起来就觉得科技感十足，第一次总X,是不是正品货个人也不清楚，应该是了的，不然也不敢保证支持验货啊，我只知道特别好用，高，大，上！还有客服服务真的好，没得说，总之很高兴，非常满意啦！",2019-03-29 21:39:00
j***g,钻石会员,手机很好用，反应挺快的，已经贴膜戴套，电信卡待机时间可以用2天，移动只够1天，通话质量好，耳机听筒很清楚，很响，音质好，拍照功能也不错，苹果手机质量还是不用担心的，双12价格很美丽,2018-12-20 10:57:41
e***i,PLUS会员,手机非常好，非常顺畅，触摸屏很灵敏，反应很快，分辨率很高，越用越喜欢，真的很值，4g上网也非常快，总之非常非常喜欢,2019-05-04 21:33:52
j***3,PLUS会员,一直都很信赖京东，在京东上买了3个手机，很好用，没有出现过问题，这次依然选择了京东。买之前X和8P比较了半天，最后决定还是买X，因为它非常适合单手操作，而屏幕比8P也小不到哪里，无论从外观大小还是视觉都很满意。,2019-01-11 23:08:45
钱***意,PLUS会员,性价比高，手感不错，跟XS没啥区别，电池掉电快，通病吧，中度玩一天一冲，电池不给力，顺畅度很好，面部识别灵敏，很方便。总之满意。,2018-12-29 14:59:43
S***v,PLUS会员,宝贝收到了，物流服务很好，包装无破损！不错，实物与图片一样，好看实用！音质超级棒！照相很清晰！一点都不卡，很流畅！很适合推荐给朋友！期待下次购买,2018-12-31 23:05:10
凌***叶,PLUS会员,手机很不错，从6p换过来的，相比上一代进步不少，很多功能爱不释手，比如面容 ID用了就爱上，双摄拍摄效果更好，还有人像模式，机器使用很丝滑，很快，贼快了！！唯一的缺点：容量小了，降价快，屏幕辣眼睛。因为对这个屏幕敏感，我换了xr,2019-01-05 09:07:05
F***e,PLUS会员,绝对是原装正品正品行货。手感摸着很舒服，面部识别也很棒。推荐白色的，比较耐看。暂时还没有看出相机的厉害之处。没入手的可以入手一波，体验一下。比较推荐。价格也很便宜，立减*的。,2018-04-23 16:12:56
钊***银,PLUS会员[试用],物流飞快，是正品！银色外观养眼，系统反应相比之前6S、7速度一大提升！人脸识别开锁神速，不延迟！大小手感都很适合自己！屏幕颜色如打开原彩略有偏黄！不知道使用同款机型有无同感！,2019-01-12 21:26:35
波***e,钻石会员,非常好第一次用苹果的ios系统，挺顺手，操作也很简单，拿在手上的手感不错，面容id用起来可能还不是太习惯，一些角度好像解不开，和安卓手机一样，会发热，APP什么的运行很流畅，听音乐的音质好像也好一些，可能是我心理作用哈哈，总得来说满意，可以用好几年了。快递师傅很负责，态度很好，还是挺相信京东的。,2019-02-23 18:01:13
J***朱,PLUS会员,目前还不错啊，用过苹果4手、6p、6s，感觉系统真的好用，在华为mate20pro和X之间犹豫了两天，还是喜欢ios系统，方便快捷不卡顿，运行速度比6p快了太多太多，喜欢这款天空灰色，大家试试这首歌，主君的太阳插曲，有呲呲啦啦的声音，刚开始吓我一跳，后来用ipad听也这样，原来是这首歌的问题呢。送的京粉卡太鸡肋了。,2019-01-09 16:28:15
烈***空,金牌会员,手机手感很好，5.8寸单手操作很舒服，外观很漂亮，运行很流畅，初次使用ios系统，感觉是越用越舒服，元旦活动买的，价格相对满意！,2019-01-02 20:55:39
j***m,PLUS会员,很快哦，昨天晚上拍的，今天就送到运行速度，比较快，运行速度比较好，这个，全是去年的旗舰机，不过几年拍的都掉价掉了很多，照相特别清晰，运行速度特别快，系行也不错，赞一个,2019-03-23 20:04:22
j***e,金牌会员,一直以来电子产品都在京东买 质量值得信赖 我只用的苹果电脑 苹果6 就是因为运行速度太慢 才换的苹果X 果然是一分钱一分货 页面特别流畅 屏幕特别灵敏 比之前的不知道好了多少 照相也不错 有很多选择 内存也够 想下载什么都可以 推荐 绝对不会后悔,2019-01-01 12:13:16
小***4,PLUS会员,手机很好，第二天就收到了，用了一段时间了，感觉续航能力还可以，电池挺经用的，玩游戏也不卡，拍照像素也很高，面容 ID很好用，很方便。,2018-12-21 20:20:42
B***n,PLUS会员,这个手机屏幕效果很好呀，很喜欢显示效果，看美女超级清楚，拍照效果很棒，很好，我觉得玩游戏，看视频，看起来屏幕都非常炫丽，玩游戏一点也不卡，每天我只充一次电，苹果就是好用啊。,2018-06-21 21:03:37
z***0,PLUS会员,用了大概有5天，说下使用体验，屏幕分辨率很不错，相机拍照效果也不错，符合我的需要，下面说些确定：新机镜头里有灰尘，电池发热非常厉害，我用的移动网络，联网效果好不如我之前的iPhone6，不知道这些小bug怎么解决,2018-12-21 11:31:03
U***h,钻石会员,买来给妈妈用的，妈妈本来说买华为，然后一看华为也这么贵了，毕竟ios系统比安卓稳定，所以还是为了用的长久，就买的苹果，我自己是黑色，妈妈的是白色，很漂亮。,2019-01-05 10:11:11
jd180308qmm,PLUS会员,以前的手机太难用了 ，主要太卡了，这款iPhone用起流畅，反应速度快，用起来确实不错，玩游戏，看剧都很好。,2019-03-27 17:41:23
j***b,钻石会员,手机操作很爽，反应够快，与之前的手机操作有种脱胎换骨的感觉，屏幕很清晰，看电影挺好，玩儿王者荣耀的时候摄像头旁边会比较烫，只是手机信号真心不太满意，4G常掉，很少满格，我用的是联通号，在小县城。,2018-12-16 20:38:22
城***丶,PLUS会员,物流特别快，宝贝收到了，手机使用起来特别的好，屏幕清晰，运行流畅，打游戏什么的都不卡，而且在安兔兔上面跑分的是特别好的，这个价格我非常喜欢，非常的实惠，特别的棒，我很喜欢。,2019-02-15 20:15:50
郑***x,PLUS会员,刚收到货还没啥感觉，下了个网易云音乐，一打开歌，立马就喜欢上这个音质了，一下子心生欢喜，系统永远都是那个很快的系统，这次下血本买了个大容量的，不怕了。后续使用后再来追评啦！上图,2018-09-19 16:33:28
鼎***叮,金牌会员,手机用了一段时间了，感觉不错，做工精细，品质杠杠的，真的是一分钱一分货，新机电池续航能力不错（不玩游戏）买之前也看了三星S8、S9、N9感觉手感自己不怎么喜欢，手机我还是喜欢先看外观再看性能，外观如果做得好的里面的零配件就不会差到那里去，苹果的零配件我有接触过 很多都是加工中心加工出来的 精密度高  X的边框是医疗级不锈钢的（官方介绍）加工难度比铝合金难得多，买的是工艺 所以我选择X 报告完毕！,2019-01-17 01:35:33
M***主,PLUS会员,已经用了一段时间了，手机很流畅，用着很舒适，各方面都不错，一直是苹果粉，支持苹果?！！！,2019-03-30 09:04:10
茉***_,银牌会员,第一次用苹果的ios系统，挺顺手，操作也很简单，拿在手上的手感不错，面容id用起来可能还不是太习惯，一些角度好像解不开，和安卓手机一样，会发热，APP什么的运行很流畅，听音乐的音质好像也好一些，可能是我心理作用哈哈，总得来说满意，可以用好几年了。快递师傅很负责，态度很好，还是挺相信京东的。,2019-02-13 17:15:02
不二将军,金牌会员,很好用，自己手机的第一台iphone，流畅自然不用多说，两天就适应过来有点不想换回安卓了。激活之后查看是当天激活的，全新未拆封的机器。软件检测，机器是18.10月份的新机器，系统已经是最新的IOS12。自己贴了膜，加的手机壳，爱惜着用，我看用个两三年不成问题的。faceid很好用，摄像头好像是防抖的呢,2019-05-30 13:58:23
l***5,PLUS会员,之前是iPhone6，实在带不动了。iPhoneX果然不一样，超级快，超级超级快！拍照效果很好，还不自带美颜。买给媳妇的，她平时不怎么玩游戏，重度使用一天都够，很好,2018-10-07 19:46:32
j***8,铜牌会员,"用了十几天才来评价。
优点：外观完美、手感超棒、系统超流畅，屏幕显示效果超清晰。
缺点：电池不耐用、屏幕太小，刘海太难看。",2019-01-15 23:00:26
jd151513mkq,PLUS会员,很好  当天晚上下订单 第二天就到了 国行正品 本来在s10和苹果x中纠结 最后还是选了x  还是那句话  之前用的ios 继续用苹果  系统 有保证  安卓的可以换s10  上半年最好的旗舰机皇,2019-03-23 16:20:06
1***m,金牌会员,对于iPhonex种草很久了，很喜欢大气的颜色，尤其喜欢iPhonex的拍照功能，美美哒，怕买到二手货观望了很久，很不错，拿到手里，去官网查了，绝对是正品开心极了，比我之前的6s好用多了，face ID 很好哈哈！,2019-01-07 20:17:13
w***6,PLUS会员,不错，手机反应很快，昨天下午买到，今天上午就到了，配上无线充电器，不用再受数据线束缚了，买了pp超薄手机壳，不影响手感，绝配！手机显示效果不错，原色显示开启与不开启差异挺大的，还在适应中。,2019-01-02 15:03:21
y***2,PLUS会员,手感大小比plus合适，刘海不太适应，碍眼。一贯的热。电量显示不好，看不出来%。人脸识别比指纹识别快。总体很好，银色的很炫，大气，比深空灰好。关键是手感舒服，颜值炫，和电脑一样， 看的是颜值。,2018-02-20 20:59:39
h***u,银牌会员,体验很好啊，第一次用iOS感觉很流畅。当然手机本身也很流畅，相机也很OK，虽然没有Android参数那么高但是实际效果非常棒。 外观很大气黑色耐最看的。,2019-03-21 15:19:15
j***b,金牌会员,双十一买的，用了一个多月，系统很流畅，用着很舒服，刘海屏幕越看越喜欢，独一无二，别具匠心的设计就是这么与众不同。屏幕看着比我的7要大好多，这就是全屏。没有以前的home键看着要舒服很多，直接上滑的操作顺手很多。总而言之，很喜欢。,2018-12-19 19:00:27
十***筹,金牌会员,本来在xr和x之间犹豫了很久，但是最后还是决定买x。送货快，收到立刻在官网查了是正品。手感很好，有点重，颜值很高，分辨率什么的没说的。系统太棒了，非常顺滑。我不玩游戏所以电量很耐用。,2018-12-22 20:40:34
j***0,金牌会员,"(显示效果) 屏幕很好，防近视(运行速度) 速度快的很(拍照 昭交 效果〉 像素好

电池续航 一天一次吧，这要看

挺喜欢的，早就想买了，运行 运行速度 速度绝对 绝对杠 杠杠 杠的，不卡，这就是我喜欢苹果的原因",2018-06-13 14:02:39
K***龙,钻石会员,之前都是用7p，从换了苹果x用了一段时候后感觉非常好，非常流畅，处理器升级，用面部解锁、打开app支付买东西，非常方便，值得购买，毕竟是苹果10周年纪念机,2018-12-19 14:11:50
Palinc_,PLUS会员[试用],总体很好很喜欢，用着舒服，不卡不会耗电很快，x的配置还是蛮高的，希望保护好不会摔到，屏幕耐久点，面容ID还是很方便的，一开始还是不习惯觉得指纹好，现在是越用越舒服了，拍照的话感觉一般，没多大区别，不过新增了很多功能，iOS12也蛮好用的，总之，对于我一个学生仔来说，拆手机的时刻超兴奋超激动超开心的啦！256g能陪我很久吧嘻嘻^～深空灰很耐看。,2018-10-21 16:59:28
第***年,PLUS会员,拍照很清晰，像素红，高电量嗯，用个一天吧还是要充的。提到钱的手机呀，给办的，以前游戏比起来当然好很多。知道。,2019-01-31 23:34:25
--彬仔--,PLUS会员,终于用上了苹果手机，在拿到这款苹果X手机之后，使用了一个星期多，感觉很好，比安卓机好用多了，希望可以一直这样好用，流畅下去，目前没有发现质量不好，加油，给个好评。。。。。。。,2019-05-15 23:44:41
j***q,铜牌会员,给个五星好评吧，头年买的，用了十一天来的这里评价，因为是过年，没法儿去实体店买了，于是看了京东和套餐，发现~比京东便宜三百，可是为了保障，我还是选择了京东。说说手机吧，以前用过果五，因为当初苹果的封闭性，我就换的的安卓红米note和三星s7e，被安卓彻底伤了心，又决定换回苹果。咳咳，扯远了，说这个手机吧，第一次在网上购买手机，还是这么贵重的，起初很担心会出现问题，但幸运的是京东还是很值得信任的，这手机流畅度没的说，玩游戏什么的也都好，就是@影键位有点不舒坦，这个手机不论是音质还是颜值都是很棒的，而且手机绝对比图片好看！也比图片看着大很多！跟我的s7e相比尺寸，只是小了那么一丢丢，几乎可以忽略不计，各种操作也很棒！手机夸完了夸快递员，很负责任，态度不要太好，手机购买第二天就送到了家，因为我这里属于农村，快递小哥还是不辞辛苦的亲自给我送来，送来后还各种确认，确定手机是我本人购买并且出示购买记录后才将手机给我，并且全程盯着我拆箱验货，直到我说手机没有任何问题后才驱车离开，是个很负责任的快递小哥！值得点赞！啊对了！客服也很好，夸夸客服小哥哥或者小姐姐呦！最后再说一句，祝京东会更好,2019-02-15 20:16:01
杨***静,钻石会员,苹果手机搞活动，一下子搞了两个，真是太好用了，外观漂亮时尚，而且屏幕清晰，屏占比大，运行流畅，非常满意，京东物流也非常给力，物流无人能比！,2019-05-09 03:55:09
萌***7,银牌会员,序列号和盒子上可以对上 还没有去官网验证不过我放心 在京东买了四个手机了 没问题 从6sp换到x 还需要适应下 反应确实快 现在入手很合适 女孩子握在手里 很舒服 其他的等待以后用用再说,2019-02-02 14:37:52
光***2,PLUS会员,京东快递给力，隔天都到了！真机比图片好看多了，很喜欢的颜色！用了4年多的小6终于可以休息一下啦！机器没的说的，速度杠杠的，暗光下解锁也是秒开，厉害了！买之前一值在纠结8Ｐ和X，不知道选哪个好！现在看来自己的选择没有错，X的大小刚刚好，屏幕也足够大了，单手操作也可以！比起小6的性能可不止一点点升级那么简单，给我感觉就是非常的顺畅 非常的快！,2019-01-12 17:01:31
倾***丶,金牌会员,第一次用苹果手机和ios系统，开机都设置了很多，体验感觉很流畅，比我预期的要惊艳。哈哈，现在还正在摸索中，人脸解锁挺好用的。,2019-01-25 22:25:40
莓***一,钻石会员,很好用，第一次买苹果，非常通畅，不像安卓机一样用段时间就卡了，很薄很轻，机子买之前就把壳和膜买了哈哈哈哈哈哈，拿回来就套上了，快递非常快，第二天就送来了，很赞啊,2018-12-20 23:03:20
s***8,PLUS会员,首先最满意的就是外观，大小适合我这种手比较小的人，系统非常流畅，续航新手机，能中度一天，挺好的，还有就是手机是10月份生产的，这个是非常奈斯的，希望可以坚挺2年，哈哈，5??好评,2019-01-02 10:35:35
科***丹,PLUS会员,显示效果：屏幕色彩很棒 运行速度：运行流畅，软件切换自如 通信音质：音质很好 电池续航：一整天 拍照效果：清晰度色彩很棒 其他特色：面部识别很灵敏.国行原装正品，激活满保，不错不错，x很流畅.京东一级棒！,2019-03-30 17:03:24
JDXINFANG1010,金牌会员,手机到货很快，上午买的下午就到了，很喜欢，运行速度真心快，手感不错，试了试面容ID，感觉比较安全，总体来说特别满意，就是没有HOME键了，猛一用感觉有点不习惯，后续用一段时间再来追评，去年到现在京东买的第6个手机，很不错。,2019-03-29 09:11:46
心***6,铜牌会员,手机真的好棒，运行速度很快，电池也很给力，一天一充，屏幕清晰，显示效果很棒，用了一段时间来评论，没有任何问题，音质非常好，听歌看电影很舒服，给京东一个赞，,2019-05-28 23:38:00
j***z,银牌会员,第一次在京东买iPhoneX，趁着这次双十二活动便宜就入手。这款手机整体运行速度比较快，显示效果不错，非常细腻，比我手上这部iPhone6s要好上一些，操作手势虽然有些复杂，但用习惯就没什么问题，功能都差不多，没有说很惊艳，另外一点，刘海屏需要时间去适应。整体来说，手机尺寸很合适，单手操作完全没问题。再用一段时间，告诉你们值不值得购买。,2018-12-08 21:05:28
_***瑰,PLUS会员,用了很久来评论的，还不错，电池还行，最惊喜的是外放音乐电影的感觉，上下都有喇叭，之前用的6s就没这种音效，屏幕显示也很好，摄像头比起之前用的好很多，改变了很多使用习惯，人脸识别有时候识别不了，总体很满意，玩游戏发热很少，，Oled清晰，但Lcd更舒服很不错，不好的就是单手操作还是很不方便。,2019-03-11 20:07:02
T***3,金牌会员,快递很快，一晚上就到了。相信京东正品，很流畅。拿在手里很有质感，高端大气上档次，低调奢华有内涵,2019-02-03 20:47:14
卡卡爱小卡卡,钻石会员,功能强大，真的很好用，不愧为机皇，很喜欢人像拍照模式，另外重量，屏幕大小很适合女孩子单手操作。我们用的京东购物卡抵扣了一千多，所以入手很合适。,2019-05-19 11:58:10
R***9,金牌会员,屏幕边框也非常小，让它实际上比iPhone 8 Plus 更小、更薄及更轻，拿在手上感觉是刚刚好。相比机身笨重的iPhone 7 Plus，更好用.5.8 英寸的OLED 荧幕，机面机背均采用了玻璃物料制造，加上机边采用了不锈钢物料，初看起来极为漂亮,2018-09-25 09:44:30
傲***鸭,铜牌会员,我是12月29号买的，现在用了也有一小段时间，感觉OK没什么大问题之类的，裸机手感超级好，不过我还是将它全套保护起来了，现在也有在搞活动，还是值得入手的,2019-01-17 13:26:22
这***号,金牌会员,很喜欢，直接看评价有些说出现问题，有点担心，不过到货后，使用了一两天后，感觉很好，很不错，还有虽然~易购的便宜些，但我还是比较相信京东，很好，很喜欢，不错不错。系统超级流畅，UI是真的设计的好，漂亮，喜欢?。,2019-01-21 09:59:52
b***r,PLUS会员,触屏效果很灵敏，朋友说苹果手机使用不会卡顿，比安卓手机好多了，我才购买的，使用了运行速度快，下载软件也快，还有一个功能语音说话就可以下载软件，很神奇，还有一些表情也很可爱。,2018-12-08 17:43:04
j***q,PLUS会员,"这款手机的高贵之处在于，第一次搭载了全面屏，iPhoneX在外观上最令人感到震感的便是那块5.8英寸的全面屏，这块全面屏分辨率达到了2436*1125。

第一次加入了无线充电，苹果给iPhoneX，Applewatch、AirPod创造了一个共用的充电基座。苹果称之为Airpower。

在系统层级也是第一次加入了VR。iPhoneX采用双1200万像素的OIS光学防抖相机，两颗摄像头均搭载光学防抖。苹果在发布会中展示的样张十分震感，无论是色彩还原度还是细节保留都很完善。其所搭载的iOS11在增强现实（AR）方面功能强大。",2019-05-29 15:26:44
六***哥,PLUS会员,速度快得飞起，流畅至极，电池续航能力不错，一晚上待机只掉一格电，还剩99%的电量。手机外发音量很大，手机手感很好很舒服，屏幕大机身小，屏幕显示非常细腻，还能够自己手动设置偏冷或偏暖，看视频比非全面屏震撼多了，齐刘海很好啊，这就是iPhoneX的标志！,2018-08-16 14:51:15
因***年,金牌会员,开箱无灰尘 无划痕 边框没有差评说的缝隙以及ab面结合缝 手感很好 反应速度很快 运行流畅 电量还可以 手机运行程序会有一定的发热 在接受范围内  用一阵再来追评,2018-05-26 16:41:24
漱石顽夫,PLUS会员,"包装：不错
外观：精致漂亮，手感很好
产品：系统丝般顺滑，屏幕很好，面容ID很好用，信号不太好
性价比：
总体：值得推荐",2019-05-08 18:48:50
T***P,钻石会员,苹果除了价格之外，做工挺良心的，屏幕，运行速度都是没得说。总体很不错，信赖京东，希望这个手机能多用几年,2019-01-05 22:15:58
jd_176055qlg,PLUS会员,用了半个月了，感觉很好，开应用快，电量也比我以前的6s好用很多，买了后两天看到送无线充电的活动，给客服说，客服马上就给我补发了一个，目前用着没毛病。满意,2018-12-28 09:46:06
馬***i,PLUS会员,用了很久了才过来评论，手机还是很不错的！用的很舒服！刚到手就刷了最新系统描述文件，从此不再提示更新系统！我觉得还是手机刚到手的原始系统才是最流畅的！看到听筒哪儿有土别误会，工作环境原因带的手机壳,2019-02-12 13:29:48
乐***猪,金牌会员,徘徊了很久X和Xr128，最终还是选择了X，体验挺不错，总会有他的长处，Oled清晰，但Lcd更舒服，系统A11也非常快，用个3年就换华为，过渡过渡还是挺不错的，总结有一点点预期内，满意，另外京东值得信赖，全新国行未拆封，机是7月份的，很快很流畅，希望更耐久！没有送东西，标配。,2018-12-21 22:48:53
溏七巷子的喵,银牌会员,像素相当好，给朋友拍的人像就像用相机拍的一样。屏占比高，手感好，系统发挥出了很多软件的优越能力，挺适合女孩子用的。快递小哥尽职尽责。,2019-05-03 13:49:46
j***1,PLUS会员,用了一个多星期来评论的，还不错，电池还行，最惊喜的是外放音乐电影的感觉，上下都有喇叭，之前用的6s就没这种音效，屏幕显示也很好，摄像头比起之前用的好很多，改变了很多使用习惯，人脸识别有时候识别不了，总体很满意，玩游戏发热很少，很不错，不好的就是单手操作还是很不方便。,2019-02-06 11:50:38
八***8,PLUS会员,苹果品牌日购买，用了一张券，感觉很划算，应该是国行版本近期的~了，京东很厚道。其实一直就想换个手机，iphonex正好满足我所有的需求，双摄像头照相很完美，64G内存也足够用，人脸解锁相当快捷和方便，待机时长也是亮点，正常使用基本一天一充吧,2019-04-26 14:08:09
可***1,银牌会员,速度很快，选择IOS处理器就对了，很喜欢很棒很香，赶上活动买，超值，就是担心电池不知道可以用多久，上个苹果手机，就是电池存储不了电了，这个，先用着看吧,2019-04-27 18:31:39
j***q,银牌会员,喜欢小屏手机，买到了喜欢的黑色，是原封的机器，按键都完美，没有一高一低的情况！外观完好！12.0.1的系统，准备把系统屏蔽以后都不更新了！perfect！配了个官方xs森林绿的皮壳子！,2018-12-21 11:21:56
1***发,PLUS会员,最惊喜的是外放音乐电影的感觉，上下都有喇叭，之前用的6s就没这种音效，屏幕显示也很好，摄像头比起之前用的好很多，改变了很多使用习惯，人脸识别有时候识别不了，总体很满意，玩游戏发热很少，很不错，不好的就是单手操作还是很不方便。,2019-02-23 19:57:56
p***y,钻石会员,京东快递就是快，昨日下单今日收货，马上贴膜装壳，升级iOS12。手机外观很漂亮，大小正好，奶在手里很有手感和质感，显示屏分辨率高，看起来非常舒服，比苹果8进步不少，很满意的一次购物。,2018-10-05 15:10:12
蘑***饭,PLUS会员,"第四次给同班同学抢的iphone，发货超级快。以下是同学的评论。
总体很好很喜欢，用着舒服，不卡不会耗电很快，x的配置还是蛮高的，希望保护好不会摔到，屏幕耐久点，面容ID还是很方便的，一开始还是不习惯觉得指纹好，现在是越用越舒服了，拍照的话感觉一般，没多大区别，不过新增了很多功能，i081 2也蛮好用的，总之，对于我一个学生仔来说，拆手机的时刻超兴奋超激动超开心的啦!银色很耐看～",2019-04-30 22:06:41
爱***年,PLUS会员,非常好用，上网速度快，声音大而清楚，愉快购物！很好很棒很满意！希望后续使用更加好用！没有什么大问题出现，手感超好，像一块艺术品，性能强劲，拍照狠给力，人像模式很贴心，上京东买，放心！,2019-01-02 21:30:59
帅***啊,PLUS会员,很不错，买给妈妈用的，里面有极简桌面，把常用的电话、信息、~等几个功能应用放在第一-页就省得找了，而且图标很大，不怕看不见。有点滑手，买了个软壳。基本功能都能满足，算是老人机。,2019-03-08 12:27:09
先***V,PLUS会员,满怀期待的拿到了手机，挺激动的，外观好看，面容也快，用的还流畅，没有评论里说的很差，也是正品，查了序列号，正品，后续再追评,2018-12-18 16:47:39
二***弟,钻石会员,说句老实话。脱离了home键刚刚上手还有点不习惯。手机到第一眼很惊艳。裸机手感很好。开机设置后很流畅 app反应速度很快。用段时间再追加评论吧,2019-01-21 16:51:28
j***a,PLUS会员,运行速度真心快，基本是秒速，面容ID也很快，晚上不开灯也是秒解锁，这是个全新操作的手机，不过用习惯了真的很便捷，全面屏，看什么都很大，呵呵。我觉得这个手机的电池很耐用啊，很省电的。用了半个月了，暂时没有出现任何问题。不过通话的声音很大声，感觉听的不是很清晰，像是对方在用扩音器说话似的。有网友说会有发烫的问题，我个人发现是在阳光下，或者在温度高的环境下手机容易发烫，比如阳光下的车里。在用用看。总之很推荐的！！！,2018-10-23 10:02:24
z***6,PLUS会员,从6S升级到X的，X手机质感超好，但是会留手印，操作和之前的有很大不同，原因是有了脸部识别，很多操作都不需要了，刚上手时，没有HOME键，确实不适应，熟悉之后，操作就好多了,2018-02-07 20:05:42
0***0,PLUS会员,苹果的ios系统，挺顺手，操作也很简单，拿在手上的手感不错，面容id用起来可能还不是太习惯，一些角度好像解不开，和安卓手机一样，会发热，APP什么的运行很流畅，听音乐的音质好像也好一些，可能是我心理作用哈哈，总得来说满意，可以用好几年了。快递师傅很负责，态度很好,2019-04-15 21:16:43
小***4,PLUS会员,手机很好，用起来很流畅，像素也很给力，原相机，很喜欢，用了一段时间了，电量很经用，玩游戏也不卡，刘海屏不是特车好看，希望以后有所改善。,2018-12-19 16:09:35
2***4,PLUS会员,上手非常方便，用了一天再去用有home键的原手机已经不习惯了，系统流畅，反应灵敏，手机画质艳丽，音质清晰，电池耐用，完了一整天还有40%的电。满意！京东物流也是快的很，非常及时将手机完好的送到，服务一流，态度一流，速度一流，赞！,2019-03-24 12:01:31
